registro_mapeo,anio,producto,flow_group,lado,bloque,unidad_sectorial,source_record_id,metodo,ajuste,TJ,tipo_STAT,estado_fuente
MAP_0555,2018,SOLAR,Energy from natural inputs,Use,B,ENER,BEV2_00118,GENERACION_CENTRAL,valor absoluto,736.1851,,OK
MAP_0556,2018,COQUE,Energy products,Supply,D,ROW,BEV2_00128,COMERCIO_EXTERIOR,sin ajuste,15769.7925,,OK
MAP_0557,2018,COQUE,Energy products,Use,G,ACC,BEV2_00130,CAMBIO_EXISTENCIAS,cambio de signo,2107.2289,,OK
MAP_0558,2018,COQUE,Energy products,Use,E,ENER,BEV2_00132,GENERACION_CENTRAL,valor absoluto,969.0499,,OK
MAP_0559,2018,COQUE,Energy products,Use,E,ENER,BEV2_00133,AUTOPRODUCCION,valor absoluto,564.6739,,OK
MAP_0560,2018,COQUE,Energy products,Use,E,ENER,BEV2_00134,USO_ENER,sin ajuste,5502.5348,,OK
MAP_0561,2018,COQUE,Energy products,Use,E,IND_BEN,BEV2_00138,USO_IND_BEN,sin ajuste,6626.305,,OK
MAP_0562,2018,DOIL,Energy products,Supply,D,ROW,BEV2_00142,COMERCIO_EXTERIOR,sin ajuste,68503.1536,,OK
MAP_0563,2018,DOIL,Energy products,Use,H,ROW,BEV2_00143,COMERCIO_EXTERIOR,sin ajuste,232.4581,,OK
MAP_0564,2018,DOIL,Energy products,Use,G,ACC,BEV2_00144,CAMBIO_EXISTENCIAS,cambio de signo,-3880.2085,,OK
MAP_0565,2018,DOIL,Energy products,Supply,C,ENER,BEV2_00145,TRANSFORMACION_REFINERIA,sin ajuste,2077.9465,,OK
MAP_0566,2018,DOIL,Energy products,Use,E,ENER,BEV2_00146,GENERACION_CENTRAL,valor absoluto,47.7001,,OK
MAP_0567,2018,DOIL,Energy products,Use,E,ENER,BEV2_00147,AUTOPRODUCCION,valor absoluto,12.2591,,OK
MAP_0568,2018,DOIL,Energy products,Use,E,ENER,BEV2_00148,USO_ENER,sin ajuste,2077.9465,,OK
MAP_0569,2018,DOIL,Energy products,Use,E,TR_BEN,BEV2_00149,USO_TR_BEN,sin ajuste,66323.7064,,OK
MAP_0570,2018,DOIL,Energy products,Use,E,IND_BEN,BEV2_00152,USO_IND_BEN,sin ajuste,5767.2965,,OK
MAP_0571,2018,ELEC,Energy products,Supply,D,ROW,BEV2_00156,COMERCIO_EXTERIOR,sin ajuste,2972.5122,,OK
MAP_0572,2018,ELEC,Energy products,Use,H,ROW,BEV2_00157,COMERCIO_EXTERIOR,sin ajuste,9001.0844,,OK
MAP_0573,2018,ELEC,Energy products,Supply,C,ENER,BEV2_00160,GENERACION_CENTRAL,sin ajuste,47093.5941,,OK
MAP_0574,2018,ELEC,Energy products,Supply,C,ENER,BEV2_00161,AUTOPRODUCCION,sin ajuste,3763.718,,OK
MAP_0575,2018,ELEC,Energy products,Use,E,ENER,BEV2_00162,USO_ENER,sin ajuste,2788.9162,,OK
MAP_0576,2018,ELEC,Energy products,Use,F,HH,BEV2_00164,USO_HH,sin ajuste,13215.6584,,OK
MAP_0577,2018,ELEC,Energy products,Use,E,SERV,BEV2_00165,USO_SERV,sin ajuste,10273.0096,,OK
MAP_0578,2018,ELEC,Energy products,Use,E,IND_BEN,BEV2_00166,USO_IND_BEN,sin ajuste,13303.157,,OK
MAP_0579,2018,ELEC,Energy products,Use,E,ENER,BEV2_00168,PERDIDAS_TRIPLE,sin ajuste,5247.9987,,OK
MAP_0580,2018,ELEC,Energy residuals,Supply,I,ENER,BEV2_00168,PERDIDAS_TRIPLE,sin ajuste,5247.9987,,OK
MAP_0581,2018,ELEC,Energy residuals,Use,Q,ENV,BEV2_00168,PERDIDAS_TRIPLE,sin ajuste,5247.9987,,OK
MAP_0582,2018,FOIL,Energy products,Supply,D,ROW,BEV2_00170,COMERCIO_EXTERIOR,sin ajuste,9941.2005,,OK
MAP_0583,2018,FOIL,Energy products,Use,H,ROW,BEV2_00171,COMERCIO_EXTERIOR,sin ajuste,374.164,,OK
MAP_0584,2018,FOIL,Energy products,Use,G,ACC,BEV2_00172,CAMBIO_EXISTENCIAS,cambio de signo,-853.0823,,OK
MAP_0585,2018,FOIL,Energy products,Use,E,ENER,BEV2_00174,GENERACION_CENTRAL,valor absoluto,3481.6425,,OK
MAP_0586,2018,FOIL,Energy products,Use,E,IND_BEN,BEV2_00180,USO_IND_BEN,sin ajuste,6938.5344,,OK
MAP_0587,2018,GAS,Energy products,Supply,D,ROW,BEV2_00184,COMERCIO_EXTERIOR,sin ajuste,71713.0043,,OK
MAP_0588,2018,GAS,Energy products,Use,H,ROW,BEV2_00185,COMERCIO_EXTERIOR,sin ajuste,1452.6743,,OK
MAP_0589,2018,GAS,Energy products,Use,G,ACC,BEV2_00186,CAMBIO_EXISTENCIAS,cambio de signo,-138.5104,,OK
MAP_0590,2018,GAS,Energy products,Use,E,TR_BEN,BEV2_00191,USO_TR_BEN,sin ajuste,68640.2696,,OK
MAP_0591,2018,GAS,Energy products,Use,E,SERV,BEV2_00193,USO_SERV,sin ajuste,351.6793,,OK
MAP_0592,2018,GAS,Energy products,Use,E,IND_BEN,BEV2_00194,USO_IND_BEN,sin ajuste,1406.8334,,OK
MAP_0593,2018,GLP,Energy products,Supply,D,ROW,BEV2_00198,COMERCIO_EXTERIOR,sin ajuste,24666.7036,,OK
MAP_0594,2018,GLP,Energy products,Use,H,ROW,BEV2_00199,COMERCIO_EXTERIOR,sin ajuste,6964.3889,,OK
MAP_0595,2018,GLP,Energy products,Use,G,ACC,BEV2_00200,CAMBIO_EXISTENCIAS,cambio de signo,-958.5338,,OK
MAP_0596,2018,GLP,Energy products,Use,E,TR_BEN,BEV2_00205,USO_TR_BEN,sin ajuste,186.6172,,OK
MAP_0597,2018,GLP,Energy products,Use,F,HH,BEV2_00206,USO_HH,sin ajuste,14368.8853,,OK
MAP_0598,2018,GLP,Energy products,Use,E,SERV,BEV2_00207,USO_SERV,sin ajuste,373.2344,,OK
MAP_0599,2018,GLP,Energy products,Use,E,IND_BEN,BEV2_00208,USO_IND_BEN,sin ajuste,3732.1697,,OK
MAP_0600,2018,KER,Energy products,Supply,D,ROW,BEV2_00212,COMERCIO_EXTERIOR,sin ajuste,4182.0961,,OK
MAP_0601,2018,KER,Energy products,Use,H,ROW,BEV2_00213,COMERCIO_EXTERIOR,sin ajuste,710.6211,,OK
MAP_0602,2018,KER,Energy products,Use,G,ACC,BEV2_00214,CAMBIO_EXISTENCIAS,cambio de signo,-974.5113,,OK
MAP_0603,2018,KER,Energy products,Use,E,TR_BEN,BEV2_00219,USO_TR_BEN,sin ajuste,4421.41,,OK
MAP_0604,2018,KER,Energy products,Use,F,HH,BEV2_00220,USO_HH,sin ajuste,20.6836,,OK
MAP_0605,2018,KER,Energy products,Use,E,SERV,BEV2_00221,USO_SERV,sin ajuste,0.9877,,OK
MAP_0606,2018,KER,Energy products,Use,E,IND_BEN,BEV2_00222,USO_IND_BEN,sin ajuste,2.9631,,OK
MAP_0607,2018,NOEN,Energy products,Supply,D,ROW,BEV2_00226,COMERCIO_EXTERIOR,sin ajuste,309.673,,OK
MAP_0608,2018,NOEN,Energy products,Use,H,ROW,BEV2_00227,COMERCIO_EXTERIOR,sin ajuste,1090.2465,,OK
MAP_0609,2018,NOEN,Energy products,Use,G,ACC,BEV2_00228,CAMBIO_EXISTENCIAS,cambio de signo,46.7124,,OK
MAP_0610,2018,NOEN,Energy products,Supply,C,ENER,BEV2_00229,TRANSFORMACION_REFINERIA,sin ajuste,3400.9997,,OK
MAP_0611,2018,DOIL,Energy products,Use,SD,STAT,STAT_2018_DOIL,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0612,2018,FOIL,Energy products,Use,SD,STAT,STAT_2018_FOIL,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0613,2018,GAS,Energy products,Use,SD,STAT,STAT_2018_GAS,saldo oferta menos uso por producto,discrepancia estadística,0.0581,redondeo,FORMULA
MAP_0614,2018,GLP,Energy products,Use,SD,STAT,STAT_2018_GLP,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0615,2018,KER,Energy products,Use,SD,STAT,STAT_2018_KER,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
MAP_0616,2018,NOEN,Energy products,Use,E,NO_ASIG,NOEN_APARENTE_2018,USO_NO_ENERGETICO_APARENTE,sin ajuste,2573.7138,,CAL
MAP_0617,2018,PETR,Energy products,Use,SD,STAT,STAT_2018_PETR,saldo oferta menos uso por producto,discrepancia estadística,-0.0581,redondeo,FORMULA
